epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,8509.42,0.49653,0.33235,0.06543,0.01671,0.9659,0.97678,0.99333,0.94337,0.38922,0.20558,0.07304,0.02841,0.0012872,0.0012872,0.0012872
38,8745.7,0.51654,0.35468,0.06358,0.02012,0.94549,0.94828,0.98611,0.9555,0.30236,0.2055,0.07154,0.02158,0.0012674,0.0012674,0.0012674
39,9103.74,0.51242,0.35598,0.06593,0.01676,0.93301,0.96054,0.98532,0.95116,0.30881,0.25865,0.07193,0.01053,0.0012476,0.0012476,0.0012476
40,9299.56,0.4954,0.29609,0.06725,0.01619,0.97999,0.94828,0.99246,0.96479,0.28135,0.18005,0.07607,0.00888,0.0012278,0.0012278,0.0012278
41,9503.36,0.50717,0.31002,0.06636,0.01721,0.94906,0.96552,0.98746,0.95856,0.29264,0.19765,0.08243,0.01609,0.001208,0.001208,0.001208
42,9734.53,0.5189,0.31204,0.0681,0.01309,0.98242,0.96366,0.99065,0.95684,0.26824,0.22181,0.08012,0.02984,0.0011882,0.0011882,0.0011882
43,10226.7,0.49723,0.30043,0.06426,0.01251,0.97903,0.91379,0.98406,0.9494,0.28813,0.21467,0.0753,0.01507,0.0011684,0.0011684,0.0011684
44,10731.3,0.45876,0.28601,0.06663,0.01178,0.97473,0.98276,0.98345,0.94524,0.27569,0.17022,0.07836,0.02478,0.0011486,0.0011486,0.0011486
45,11022.4,0.51164,0.2839,0.06922,0.01219,0.96476,0.94411,0.97765,0.94878,0.28925,0.23114,0.08324,0.01773,0.0011288,0.0011288,0.0011288
46,11370.8,0.49848,0.29406,0.06641,0.01116,0.98004,0.98276,0.9831,0.94722,0.29904,0.18659,0.08133,0.01562,0.001109,0.001109,0.001109
47,11821.3,0.47329,0.29919,0.06697,0.01232,0.983,0.9969,0.99212,0.96755,0.26108,0.14535,0.07361,0.00808,0.0010892,0.0010892,0.0010892
48,12241.5,0.46368,0.28175,0.06429,0.01145,0.97207,0.94828,0.98732,0.95086,0.29665,0.22205,0.07847,0.00818,0.0010694,0.0010694,0.0010694
49,12448.6,0.4408,0.26761,0.06812,0.00737,0.94977,0.97809,0.97974,0.94816,0.27899,0.19822,0.07809,0.00764,0.0010496,0.0010496,0.0010496
50,12740.1,0.48449,0.29759,0.06556,0.01238,0.98237,0.96081,0.98274,0.94207,0.32371,0.20374,0.08645,0.00296,0.0010298,0.0010298,0.0010298
51,13128.9,0.4702,0.29818,0.06715,0.0123,0.96456,0.93869,0.97718,0.94361,0.28851,0.2232,0.08113,0.01014,0.00101,0.00101,0.00101
52,13899.7,0.48592,0.29611,0.07052,0.00883,0.99703,0.94828,0.99348,0.96621,0.26916,0.1483,0.08416,0.0043,0.0009902,0.0009902,0.0009902
53,14197.2,0.44809,0.28783,0.06908,0.01042,0.99595,0.98276,0.99467,0.97559,0.22293,0.15083,0.0756,0.00351,0.0009704,0.0009704,0.0009704
54,14528.9,0.44269,0.26115,0.0699,0.00984,0.98262,0.97501,0.99365,0.97043,0.25064,0.14997,0.07416,0.00239,0.0009506,0.0009506,0.0009506
55,14932.7,0.42057,0.27685,0.069,0.00601,0.96604,0.98097,0.99071,0.97519,0.19995,0.16294,0.07918,0.00369,0.0009308,0.0009308,0.0009308
